symbol,xbrl,xbrl_cik,edgar_cik,snp500_cik,xbrl_name,edgar_name,snp500_name,nasdaq100_name,dj_name,snp400_name,DJ,NASDAQ100,SNP500,SNP400,sic,fye,period,filed,nciks,aciks,entityid,marketoperator,markettier,primaryexchange,siccode,sicdescription
,True,721083.0,721083.0,,SMITH INTERNATIONAL INC,SMITH INTERNATIONAL INC,,,,,,,,,3533,1231,20100630,20100806,1,,1448.0,,,,,Oil and Gas Field Machinery and Equipment
,True,1365790.0,1365790.0,,"GLG PARTNERS, INC.","GLG PARTNERS, INC.",,,,,,,,,6282,1231,20100630,20100809,1,,717026.0,,,,,Investment Advice
,True,1050180.0,1050180.0,,PHASE FORWARD INC,PHASE FORWARD INC,,,,,,,,,7389,1231,20100630,20100809,1,,150079.0,,,,,"Services-Business Services, Not Elsewhere Classified"
,True,804055.0,804055.0,,COCA COLA ENTERPRISES INC,"COCA-COLA REFRESHMENTS USA, INC.",,,,,,,,,2086,1231,20100630,20100728,1,,7157.0,,,,,Bottled and Canned Soft Drinks and Carbonated Waters
,True,1168478.0,1168478.0,,HEWITT ASSOCIATES INC,HEWITT ASSOCIATES INC,,,,,,,,,8742,0930,20100630,20100805,1,,100738.0,,,,,Services-Management Consulting Services
,True,1034088.0,1034088.0,,ECLIPSYS CORP,ECLIPSYS CORP,,,,,,,,,7373,1231,20100630,20100805,1,,6888.0,,,,,Services-Computer Integrated Systems Design
,True,1228068.0,1228068.0,,"INERGY HOLDINGS, L.P.",CRESTWOOD HOLDINGS LP,,,,,,,,,5960,0930,20100630,20100809,1,,662898.0,,,,,Retail-Nonstore Retailers
,True,319687.0,319687.0,,CONTINENTAL AIRLINES INC /DE/,"UNITED AIRLINES, INC.",,,,,,,,,4512,1231,20100930,20101021,1,,13819.0,,,,,"Air Transportation, Scheduled"
,True,13610.0,13610.0,,BOWNE & CO INC,BOWNE & CO INC,,,,,,,,,2750,1231,20100930,20101105,1,,4728.0,,,,,Commercial Printing
,True,1047699.0,1047699.0,,KING PHARMACEUTICALS INC,KING PHARMACEUTICALS INC,,,,,,,,,2834,1231,20100930,20101105,1,,1214.0,,,,,Pharmaceutical Preparations
,True,1022345.0,1022345.0,,MARINER ENERGY INC,MARINER ENERGY INC,,,,,,,,,1311,1231,20100930,20101105,1,,33025.0,,,,,Crude Petroleum and Natural Gas
,True,1407539.0,1407539.0,,LIBERTY ACQUISITION HOLDINGS CORP.,"LIBERTY ACQUISITION HOLDINGS VIRGINIA, INC.",,,,,,,,,4841,1231,20100930,20101108,1,,754652.0,,,,,Cable and Other Pay Television Services
,True,1086195.0,1086195.0,,ART TECHNOLOGY GROUP INC,ART TECHNOLOGY GROUP INC,,,,,,,,,7372,1231,20100930,20101108,1,,57.0,,,,,Services-Prepackaged Software
,True,1089976.0,1089976.0,,PACTIV CORP,PACTIV LLC,,,,,,,,,2673,1231,20100930,20101109,1,,65411.0,,,,,"Plastics, Foil and Coated Paper Bags"
,True,829608.0,829608.0,,PSYCHIATRIC SOLUTIONS INC,PSYCHIATRIC SOLUTIONS INC,,,,,,,,,8093,1231,20100930,20101109,1,,318.0,,,,,"Services-Specialty Outpatient Facilities, Not Elsewhere Classifi"
,True,1074433.0,1074433.0,,CAPITOL FEDERAL FINANCIAL,CAPITOL FEDERAL FINANCIAL,,,,,,,,,6035,0930,20100930,20101129,1,,11898.0,,,,,"Savings Institution, Federally Chartered"
,True,895648.0,895648.0,,GENERAL GROWTH PROPERTIES INC,"GGP, INC. (FKA GENERAL GROWTH PROPERTIES INC. & PREDECESSOR",,,,,,,,,6798,1231,20100930,20101029,1,,5306.0,,,,,Real Estate Investment Trusts
,True,892025.0,892025.0,,MARTEK BIOSCIENCES CORP,MARTEK BIOSCIENCES CORP,,,,,,,,,2836,1031,20101031,20101229,1,,11105.0,,,,,"Biological Products, (No Diagnostic Substances)"
,True,717724.0,717724.0,,DRESS BARN INC,DRESS BARN INC,,,,,,,,,5621,0731,20101031,20101209,1,,761.0,,,,,Retail-Women's Clothing Stores
,True,1035884.0,1035884.0,,COMMSCOPE INC,COMMSCOPE INC,,,,,,,,,3663,1231,20100930,20101027,1,,3066.0,,,,,Radio and Television Broadcasting and Communications Equipment
,True,1010775.0,1010775.0,,MIRANT CORP,MIRANT CORP,,,,,,,,,4911,1231,20100930,20101105,1,,27962.0,,,,,Electric Services
,True,1279228.0,1279228.0,,"ATLAS ENERGY, INC.",ARKHAN CORP,,,,,,,,,4922,1231,20100930,20101109,1,,620413.0,,,,,Natural Gas Transmission
,True,9342.0,9342.0,,BALDOR ELECTRIC CO,BALDOR ELECTRIC CO,,,,,,,,,3621,1231,20100930,20101110,1,,1039.0,,,,,Motors and Generators
,True,1324592.0,1324592.0,,ENTERPRISE GP HOLDINGS L.P.,ENTERPRISE GP HOLDINGS L.P.,,,,,,,,,4922,1231,20100930,20101109,1,,671598.0,,,,,Natural Gas Transmission
,True,1264755.0,1264755.0,,NEWALLIANCE BANCSHARES INC,NEWALLIANCE BANCSHARES INC,,,,,,,,,6021,1231,20101231,20110301,1,,597810.0,,,,,National Commercial Banks
,True,890801.0,890801.0,,"MCAFEE, INC.","MCAFEE, INC.",,,,,,,,,7372,1231,20101231,20110228,1,,10659.0,,,,,Services-Prepackaged Software
,True,732485.0,732485.0,,GENZYME CORP,GENZYME CORP,,,,,,,,,2836,1231,20101231,20110301,1,,10482.0,,,,,"Biological Products, (No Diagnostic Substances)"
,True,1167379.0,1167379.0,,ALCON INC,ALCON INC,,,,,,,,,3851,1231,20101231,20110318,1,,99246.0,,,,,Ophthalmic Goods
,True,3673.0,3673.0,,"ALLEGHENY ENERGY, INC","ALLEGHENY ENERGY, INC",,,,,,,,,4911,1231,20101231,20110223,1,,11559.0,,,,,Electric Services
,True,866873.0,866873.0,,DEL MONTE FOODS CO,DEL MONTE FOODS CO,,,,,,,,,2033,0430,20110131,20110304,1,,4454.0,,,,,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies"
,True,758004.0,758004.0,,NOVELL INC,NOVELL INC,,,,,,,,,7372,1031,20110131,20110314,1,,3599.0,,,,,Services-Prepackaged Software
,True,106926.0,106926.0,,WHITNEY HOLDING CORP,WHITNEY HOLDING CORP,,,,,,,,,6021,1231,20110331,20110510,1,,1840.0,,,,,National Commercial Banks
,True,110430.0,110430.0,,FRONTIER OIL CORP /NEW/,FRONTIER OIL CORP /NEW/,,,,,,,,,2911,1231,20110331,20110505,1,,10920.0,,,,,Petroleum Refining
,True,948846.0,948846.0,,AIRTRAN HOLDINGS INC,AIRTRAN HOLDINGS INC,,,,,,,,,4512,1231,20110331,20110429,1,,4199.0,,,,,"Air Transportation, Scheduled"
,True,780053.0,780053.0,,NATIONWIDE HEALTH PROPERTIES INC,"NATIONWIDE HEALTH PROPERTIES, LLC",,,,,,,,,6798,1231,20110331,20110505,1,,3614.0,,,,,Real Estate Investment Trusts
,True,828750.0,828750.0,,GSI COMMERCE INC,GSI COMMERCE INC,,,,,,,,,5961,1231,20110331,20110505,1,,2458.0,,,,,Retail-Catalog and Mail-Order Houses
,True,833081.0,833081.0,,PRIDE INTERNATIONAL INC,PRIDE INTERNATIONAL INC,,,,,,,,,1381,1231,20110331,20110505,1,,6094.0,,,,,Drilling Oil and Gas Wells
,True,708850.0,708850.0,,DIONEX CORP /DE,DIONEX CORP /DE,,,,,,,,,3823,0630,20110331,20110506,1,,7947.0,,,,,"Industrial Instruments for Measurement, Display, and Control of "
,True,899881.0,899881.0,,PROLOGIS,PROLOGIS,,,,,,,,,6798,1231,20110331,20110510,1,,6443.0,,,,,Real Estate Investment Trusts
,True,1018332.0,1018332.0,,"L-1 IDENTITY SOLUTIONS, INC.","L-1 IDENTITY SOLUTIONS, INC.",,,,,,,,,7373,1231,20110331,20110510,1,,5437.0,,,,,Services-Computer Integrated Systems Design
,True,1114200.0,1114200.0,,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,,,,,,,,,3842,1231,20110331,20110512,1,,76349.0,,,,,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
,True,872821.0,872821.0,,WILMINGTON TRUST CORP,WILMINGTON TRUST CORP,,,,,,,,,6022,1231,20110331,20110513,1,,7015.0,,,,,State Commercial Banks
,True,1344632.0,1344632.0,,"LAWSON SOFTWARE, INC.","LAWSON SOFTWARE, INC.",,,,,,,,,7372,0531,20110228,20110401,1,,691445.0,,,,,Services-Prepackaged Software
,True,1405197.0,1405197.0,,TALECRIS BIOTHERAPEUTICS HOLDINGS CORP.,TALECRIS BIOTHERAPEUTICS HOLDINGS CORP.,,,,,,,,,2834,1231,20110331,20110427,1,,752460.0,,,,,Pharmaceutical Preparations
,True,94610.0,94610.0,,SMURFIT-STONE CONTAINER CORP,SMURFIT-STONE CONTAINER CORP,,,,,,,,,2631,1231,20110331,20110429,1,,12274.0,,,,,Paperboard Mills
,True,37748.0,37748.0,,MASSEY ENERGY CO,"ALPHA APPALACHIA HOLDINGS, INC.",,,,,,,,,1221,1231,20110331,20110510,1,,11418.0,,,,,Bituminous Coal and Lignite Surface Mining
,True,1140486.0,1140486.0,,ATHEROS COMMUNICATIONS INC,ATHEROS COMMUNICATIONS INC,,,,,,,,,3674,1231,20110331,20110429,1,,145226.0,,,,,Semiconductors and Related Devices
,True,1368457.0,1368457.0,,ALBERTO-CULVER CO,ALBERTO-CULVER CO,,,,,,,,,2844,0930,20110331,20110504,1,,717047.0,,,,,"Perfumes, Cosmetics and Other Toilet Preparations"
,True,891098.0,891098.0,,STERLING BANCSHARES INC,STERLING BANCSHARES INC,,,,,,,,,6022,1231,20110331,20110510,1,,3713.0,,,,,State Commercial Banks
,True,840467.0,840467.0,,BECKMAN COULTER INC,BECKMAN COULTER INC,,,,,,,,,3826,1231,20110331,20110510,1,,3126.0,,,,,Laboratory Analytical Instruments
,True,740761.0,740761.0,,BUCYRUS INTERNATIONAL INC,BUCYRUS INTERNATIONAL INC,,,,,,,,,3532,1231,20110331,20110510,1,,19990.0,,,,,"Mining Machinery and Equipment, Except Oil and Gas Field Machine"
,True,1352341.0,1352341.0,,VERIGY LTD.,VERIGY LTD.,,,,,,,,,3674,1031,20110430,20110608,1,,701756.0,,,,,Semiconductors and Related Devices
,True,1497029.0,,,"EUROPA ACQUISITION V, INC.",,,,,,,,,,6770,0630,20110331,20110512,1,,,,,,,
,True,1399315.0,1399315.0,,MARSHALL & ILSLEY CORP,MARSHALL & ILSLEY CORP,,,,,,,,,6022,1231,20110331,20110510,1,,744687.0,,,,,State Commercial Banks
,True,6879.0,6879.0,,APPALACHIAN POWER CO,APPALACHIAN POWER CO,,,,,,,,,4911,1231,20110630,20110810,6,22198 50172 73986 81027 92487,9247.0,,,,,Electric Services
,True,15393.0,15393.0,,BUREAU OF NATIONAL AFFAIRS INC,BUREAU OF NATIONAL AFFAIRS INC,,,,,,,,,2711,1231,20110630,20110729,1,,16959.0,,,,,"Newspapers: Publishing, or Publishing and Printing"
,True,317900.0,,,ANGELES PARTNERS X,,,,,,,,,,6500,1231,20100630,20110906,1,,,,,,,
,True,744786.0,,,OXFORD RESIDENTIAL PROPERTIES I LTD PARTNERSHIP,,,,,,,,,,6500,1231,20100630,20110907,1,,,,,,,
,True,731131.0,,,NATIONAL HOUSING PARTNERSHIP REALTY FUND I,,,,,,,,,,6500,1231,20110630,20110908,1,,,,,,,
,True,702644.0,,,REAL ESTATE ASSOCIATES LTD V,,,,,,,,,,6500,1231,20110630,20110921,1,,,,,,,
,True,884497.0,884497.0,,MEDQUIST INC,MEDQUIST INC,,,,,,,,,7374,1231,20110630,20110815,1,,1742.0,,,,,Services-Computer Processing and Data Preparation
,True,914536.0,914536.0,,SFN GROUP INC.,SFN GROUP INC.,,,,,,,,,7363,1231,20110630,20110803,1,,81.0,,,,,Services-Help Supply Services
,True,1487239.0,,,"BIGELOW INCOME PROPERTIES, LLC",,,,,,,,,,6500,1231,20110630,20110811,1,,,,,,,
,True,1278308.0,1278308.0,,SHANDA INTERACTIVE ENTERTAINMENT LTD,SHANDA INTERACTIVE ENTERTAINMENT LTD,,,,,,,,,7389,1231,20101231,20110728,1,,630003.0,,,,,"Services-Business Services, Not Elsewhere Classified"
,True,874663.0,874663.0,,ALKERMES INC,ALKERMES INC,,,,,,,,,2834,0331,20110630,20110801,1,,6839.0,,,,,Pharmaceutical Preparations
,True,949297.0,949297.0,,"APAC CUSTOMER SERVICES, INC","APAC CUSTOMER SERVICES, INC",,,,,,,,,7389,1231,20110630,20110803,1,,9556.0,,,,,"Services-Business Services, Not Elsewhere Classified"
,True,814361.0,814361.0,,TIMBERLAND CO,TIMBERLAND CO,,,,,,,,,3140,1231,20110630,20110804,1,,10505.0,,,,,"Footwear, (No Rubber)"
,True,890634.0,890634.0,,ALLIED HEALTHCARE INTERNATIONAL INC,ALLIED HEALTHCARE INTERNATIONAL INC,,,,,,,,,8082,0930,20110630,20110804,1,,9404.0,,,,,Services-Home Health Care Services
,True,1106942.0,1106942.0,,BLACKBOARD INC,BLACKBOARD INC,,,,,,,,,7372,1231,20110630,20110804,1,,95918.0,,,,,Services-Prepackaged Software
,True,1397533.0,1397533.0,,"ABINGTON BANCORP, INC./PA","ABINGTON BANCORP, INC./PA",,,,,,,,,6036,1231,20110630,20110805,1,,742731.0,,,,,"Savings Institutions, Not Federally Chartered"
,True,1299688.0,1299688.0,,"OPTIONSXPRESS HOLDINGS, INC.","OPTIONSXPRESS HOLDINGS, INC.",,,,,,,,,6211,1231,20110630,20110809,1,,653315.0,,,,,"Security Brokers, Dealers and Flotation Companies"
,True,912605.0,912605.0,,CRONOS GLOBAL INCOME FUND XV LP,CRONOS GLOBAL INCOME FUND XV LP,,,,,,,,,7359,1231,20110630,20110812,1,,24839.0,,,,,"Services-Equipment Rental and Leasing, Not Elsewhere Classified"
,True,1002519.0,1002519.0,,CRONOS GLOBAL INCOME FUND XVI LP,CRONOS GLOBAL INCOME FUND XVI LP,,,,,,,,,7359,1231,20110630,20110812,1,,28075.0,,,,,"Services-Equipment Rental and Leasing, Not Elsewhere Classified"
,True,1402478.0,,,"VANGENT, INC.",,,,,,,,,,7373,1231,20110630,20110816,1,,,,,,,
,True,32198.0,32198.0,,EMS TECHNOLOGIES INC,EMS TECHNOLOGIES INC,,,,,,,,,3663,1231,20110630,20110818,1,,11537.0,,,,,Radio and Television Broadcasting and Communications Equipment
,True,1396709.0,,,"WESTERN DUBUQUE BIODIESEL, LLC",,,,,,,,,,2860,1231,20110630,20110819,1,,,,,,,
,True,1289480.0,1289480.0,,"REAL MEX RESTAURANTS, INC.","REAL MEX RESTAURANTS, INC.",,,,,,,,,5810,1231,20110630,20110909,1,,638818.0,,,,,Retail-Eating and Drinking Places
,True,784770.0,784770.0,,DPAC TECHNOLOGIES CORP,DT SALE CORP.,,,,,,,,,3674,1231,20110630,20110914,1,,2799.0,,,,,Semiconductors and Related Devices
,True,1005663.0,1005663.0,,"EURO GROUP OF COMPANIES, INC.","EURO GROUP OF COMPANIES, INC.",,,,,,,,,5990,1231,20110630,20110815,1,,73833.0,,,,,"Retail-Retail Stores, Not Elsewhere Classified"
,True,730729.0,730729.0,,GENESIS SOLAR CORP,GENESIS SOLAR CORP,,,,,,,,,6770,0331,20110630,20110815,1,,30421.0,,,,,Blank Checks
,True,915337.0,915337.0,,BANCORP ENERGY INC,BANCORP ENERGY INC,,,,,,,,,6799,1231,20110630,20110812,1,,8814.0,,,,,"Investors, Not Elsewhere Classified"
,True,1499321.0,,,CHINA HIGHLANDS LTD,,,,,,,,,,6770,0630,20110630,20110929,1,,,,,,,
,True,1010247.0,1010247.0,,FPIC INSURANCE GROUP INC,FPIC INSURANCE GROUP INC,,,,,,,,,6331,1231,20110630,20110803,1,,4562.0,,,,,"Fire, Marine and Casualty Insurance"
,True,1092807.0,1092807.0,,ALPINE AIR EXPRESS INC/DE,ALPINE AIR EXPRESS INC/DE,,,,,,,,,4522,1031,20110731,20110914,1,,66545.0,,,,,"Air Transportation, Nonscheduled"
,True,1016900.0,1016900.0,,"APPLIED NATURAL GAS FUELS, INC.","APPLIED NATURAL GAS FUELS, INC.",,,,,,,,,1311,1231,20110630,20110819,1,,73707.0,,,,,Crude Petroleum and Natural Gas
,True,70530.0,70530.0,,NATIONAL SEMICONDUCTOR CORP,NATIONAL SEMICONDUCTOR CORP,,,,,,,,,3674,0531,20110531,20110727,1,,6626.0,,,,,Semiconductors and Related Devices
,True,1048789.0,1048789.0,,FELCOR LODGING LP,FELCOR LODGING LP,,,,,,,,,6798,1231,20110630,20110802,1,,44695.0,,,,,Real Estate Investment Trusts
,True,1092800.0,1092800.0,,"MONTAVO, INC.","MONTAVO, INC.",,,,,,,,,3652,1231,20110630,20110921,1,,71844.0,,,,,Phonograph Records and Prerecorded Audio Tapes and Disks
,True,1444064.0,1444064.0,,"KORE NUTRITION, INC.","KORE NUTRITION, INC.",,,,,,,,,2080,1231,20110630,20110815,1,,786765.0,,,,,Beverages
,True,1177274.0,1177274.0,,RODOBO INTERNATIONAL INC,RODOBO INTERNATIONAL INC,,,,,,,,,2020,0930,20110630,20110815,1,,399805.0,,,,,Dairy Products
,True,745651.0,745651.0,,"ADVANCED BATTERY TECHNOLOGIES, INC.","ADVANCED BATTERY TECHNOLOGIES, INC.",,,,,,,,,3690,1231,20110630,20110815,1,,24813.0,,,,,"Miscellaneous Electrical Machinery, Equipment and Supplies"
,True,823876.0,823876.0,,APOGEE TECHNOLOGY INC,APOGEE TECHNOLOGY INC,,,,,,,,,3841,1231,20110630,20110824,1,,1649.0,,,,,Surgical and Medical Instruments and Apparatus
,True,1310482.0,1310482.0,,UNIONTOWN ENERGY INC.,UNIONTOWN ENERGY INC.,,,,,,,,,1311,1031,20110731,20110923,1,,701428.0,,,,,Crude Petroleum and Natural Gas
,True,1079023.0,1079023.0,,VARIAN SEMICONDUCTOR EQUIPMENT ASSOCIATES INC,VARIAN SEMICONDUCTOR EQUIPMENT ASSOCIATES INC,,,,,,,,,3559,0930,20110630,20110728,1,,11681.0,,,,,"Special Industry Machinery, Not Elsewhere Classified"
,True,873364.0,873364.0,,CEPHALON INC,CEPHALON INC,,,,,,,,,2834,1231,20110630,20110803,1,,11061.0,,,,,Pharmaceutical Preparations
,True,1323033.0,1323033.0,,"TENNESSEE COMMERCE BANCORP, INC.","TENNESSEE COMMERCE BANCORP, INC.",,,,,,,,,6022,1231,20110630,20110812,1,,672235.0,,,,,State Commercial Banks
,True,16104.0,16104.0,,CAGLES INC,CAGLES INC,,,,,,,,,2015,0331,20110630,20110816,1,,3099.0,,,,,Poultry Slaughtering and Processing
,True,1434017.0,1434017.0,,"SINOCOM PHARMACEUTICAL, INC.","SINOCOM PHARMACEUTICAL, INC.",,,,,,,,,5122,1231,20110630,20110915,1,,777276.0,,,,,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
,True,1030484.0,1030484.0,,RENAISSANCE LEARNING INC,RENAISSANCE LEARNING INC,,,,,,,,,7372,1231,20110630,20110808,1,,9790.0,,,,,Services-Prepackaged Software
,True,313353.0,313353.0,,"PARADIGM HOLDINGS, INC","PARADIGM HOLDINGS, INC",,,,,,,,,7373,1231,20110630,20110812,1,,60485.0,,,,,Services-Computer Integrated Systems Design
,True,1394069.0,,,YANKEE HOLDING CORP.,,,,,,,,,,3990,1231,20110630,20110815,2,1390804,,,,,,
,True,1089638.0,1089638.0,,NESS TECHNOLOGIES INC,NESS TECHNOLOGIES INC,,,,,,,,,7371,1231,20110630,20110805,1,,79726.0,,,,,Services-Computer Programming Services
,True,1355607.0,1355607.0,,SANTA LUCIA BANCORP,SANTA LUCIA BANCORP,,,,,,,,,6022,1231,20110630,20110810,1,,704637.0,,,,,State Commercial Banks
,True,1515741.0,,,"SLCA I, INC.",,,,,,,,,,6770,1231,20110630,20110811,1,,,,,,,
,True,1515742.0,,,"SLCA II, INC.",,,,,,,,,,6770,1231,20110630,20110811,1,,,,,,,
,True,1266719.0,1266719.0,,"HARBIN ELECTRIC, INC","HARBIN ELECTRIC, INC",,,,,,,,,3621,1231,20110630,20110811,1,,599937.0,,,,,Motors and Generators
,True,1171689.0,1171689.0,,ASIA GLOBAL HOLDINGS CORP.,ASIA GLOBAL HOLDINGS CORP.,,,,,,,,,5960,0930,20110630,20110815,1,,108318.0,,,,,Retail-Nonstore Retailers
,True,1041548.0,1041548.0,,ATNA RESOURCES LTD,ATNA RESOURCES LTD,,,,,,,,,1000,1231,20110630,20110815,1,,99981.0,,,,,Metal Mining
,True,1469488.0,,,ASIA SELECT ACQUISITION II CORP.,,,,,,,,,,6770,0331,20110630,20110815,1,,,,,,,
,True,1423244.0,,,SRKP 27 INC,,,,,,,,,,6770,1231,20110630,20110815,1,,,,,,,
,True,1111634.0,1111634.0,,XO HOLDINGS INC,XO HOLDINGS INC,,,,,,,,,4813,1231,20110630,20110815,1,,75356.0,,,,,Telephone Communications (No Radiotelephone)
,True,1435530.0,1435530.0,,"CHINA POLYPEPTIDE GROUP, INC.","CHINA POLYPEPTIDE GROUP, INC.",,,,,,,,,2834,0930,20110630,20110822,1,,779344.0,,,,,Pharmaceutical Preparations
,True,1338401.0,1338401.0,,CLARK HOLDINGS INC.,CLARK HOLDINGS INC.,,,,,,,,,4700,1231,20110630,20110824,1,,686291.0,,,,,Transportation services
,True,1434667.0,1434667.0,,"CHINA WI-MAX COMMUNICATIONS, INC.","CHINA WI-MAX COMMUNICATIONS, INC.",,,,,,,,,4899,1231,20110630,20110825,1,,780128.0,,,,,"Communications Services, Not Elsewhere Classified"
,True,1441649.0,1441649.0,,"AMERICAN SMOOTH WAVE VENTURES, INC.","AMERICAN SMOOTH WAVE VENTURES, INC.",,,,,,,,,5400,1231,20110630,20110825,1,,784888.0,,,,,Retail-Food Stores
,True,1331427.0,1331427.0,,"AGFEED INDUSTRIES, INC.","AGFEED INDUSTRIES, INC.",,,,,,,,,0200,1231,20110630,20110826,1,,680027.0,,,,,Agricultural Products-Livestock and Animal Specialties
,True,1268236.0,1268236.0,,"NEW GENERATION BIOFUELS HOLDINGS, INC","NEW GENERATION BIOFUELS HOLDINGS, INC",,,,,,,,,2860,1231,20110630,20110913,1,,602141.0,,,,,Industrial Organic Chemicals
,True,1439245.0,,,SK SHASTA ACQUISITION CORP. 1,,,,,,,,,,6770,0430,20110731,20110913,1,,,,,,,
,True,1439242.0,,,SK SHASTA ACQUISITION CORP. 2,,,,,,,,,,6770,0430,20110731,20110913,1,,,,,,,
,True,1439241.0,,,SK SHASTA ACQUISITION CORP. 3,,,,,,,,,,6770,0430,20110731,20110913,1,,,,,,,
,True,1439240.0,,,SK SHASTA ACQUISITION CORP. 4,,,,,,,,,,6770,0430,20110731,20110913,1,,,,,,,
,True,749254.0,749254.0,,"ACCESS TO MONEY, INC.","ACCESS TO MONEY, INC.",,,,,,,,,7200,1231,20110630,20110914,1,,11199.0,,,,,Services-Personal Services
,True,1416712.0,1416712.0,,"IRON MINING GROUP, INC.","IRON MINING GROUP, INC.",,,,,,,,,8742,1231,20110630,20110914,1,,762900.0,,,,,Services-Management Consulting Services
,True,1104891.0,1104891.0,,SUPERCLICK INC,SUPERCLICK INC,,,,,,,,,4822,1031,20110731,20110914,1,,73665.0,,,,,Telegraph and Other Message Communications
,True,1312069.0,1312069.0,,FOUR RIVERS BIOENERGY INC.,FOUR RIVERS BIOENERGY INC.,,,,,,,,,3841,1031,20110731,20110916,1,,662369.0,,,,,Surgical and Medical Instruments and Apparatus
,True,1271940.0,1271940.0,,"CHINA FIRE & SECURITY GROUP, INC.","CHINA FIRE & SECURITY GROUP, INC.",,,,,,,,,3990,1231,20110630,20110830,1,,608507.0,,,,,Miscellaneous Manufacturing Industries
,True,1439446.0,1439446.0,,"FUSIONTECH, INC.","FUSIONTECH, INC.",,,,,,,,,3312,1231,20110630,20110822,1,,783080.0,,,,,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
,True,1248124.0,1248124.0,,CHEVIOT FINANCIAL CORP,CHEVIOT FINANCIAL CORP,,,,,,,,,6021,1231,20110630,20110812,1,,413784.0,,,,,National Commercial Banks
,True,1309987.0,,,WMG ACQUISITION CORP,,,,,,,,,,7900,0930,20110630,20110804,1,,,,,,,
,True,1061322.0,1061322.0,,GLOBAL CROSSING LTD,GLOBAL CROSSING LTD,,,,,,,,,4813,1231,20110630,20110804,1,,5770.0,,,,,Telephone Communications (No Radiotelephone)
,True,60751.0,60751.0,,LUBRIZOL CORP,LUBRIZOL CORP,,,,,,,,,2860,1231,20110630,20110805,1,,727.0,,,,,Industrial Organic Chemicals
,True,1072343.0,1072343.0,,ARCH CHEMICALS INC,ARCH CHEMICALS INC,,,,,,,,,2800,1231,20110630,20110805,1,,9114.0,,,,,Chemicals and Allied Products
,True,845818.0,845818.0,,RADIANT SYSTEMS INC,RADIANT SYSTEMS INC,,,,,,,,,7373,1231,20110630,20110805,1,,8393.0,,,,,Services-Computer Integrated Systems Design
,True,1003022.0,1003022.0,,ZORAN CORP \DE\,ZORAN CORP \DE\,,,,,,,,,3674,1231,20110630,20110805,1,,1259.0,,,,,Semiconductors and Related Devices
